,Distancia_km,Tiempo_min
count,611.0,62.0
mean,12.893911620294599,51.774193548387096
median,11.63,15.0
mode,5.43,5.0
var,58.96794614955328,9747.161290322581
std,7.679058936455252,98.72771287902188
p25,7.279999999999999,5.25
p50,11.63,15.0
p75,17.185,56.25
