ID,Mi rol principal en la universidad es:,Distancia Recorrida (ida),Tiempo de traslado (ida),Modo de transporte principal,En tu viaje al ITESO: ¿Empleas el automóvil como la persona conductora o pasajera?,¿Qué días de la semana te trasladas al ITESO?_1,¿Qué días de la semana te trasladas al ITESO?_2,¿Qué días de la semana te trasladas al ITESO?_3,¿Qué días de la semana te trasladas al ITESO?_4,¿Qué días de la semana te trasladas al ITESO?_5,¿Qué días de la semana te trasladas al ITESO?_6,¿Qué días de la semana te trasladas al ITESO?_7,dias_campus_total,Días de desplazamiento al trabajo,"En un día típico, ¿a qué hora llegas y sales del ITESO?",Hora_1,Hora_2,Segundo Horario,Hora_1,Hora_2,Doy regularmente aventón_1,Pido regularmente aventón_1,Compartido con pasajeros_1
27508,Profesor (a) de asignatura,14.44,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,17:50:00,,Mi horario de salida es flexible,20:00:00,22:15:00,3 veces por semana,Nunca,1
27509,Profesor (a) de tiempo fijo,27.15,,Tren Ligero (Mi Tren),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,02:00:00,,Nunca,Nunca,
27510,Estudiante de licenciatura,9.33,,Transporte universitario,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,11:00:00,Mi horario de salida es flexible,11:00:00,15:00:00,,4 o más veces por semana,
27511,Personal administrativo,7.73,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,05:00:00,,,,
27512,Estudiante de licenciatura,25.91,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,15:00:00,18:00:00,,,
27513,Personal administrativo,6.39,,Automóvil compacto,Conductora,Lunes,,Miércoles,,,,,2,2,Mi horario de llegada es flexible,08:20:00,09:00:00,Mi horario de salida es flexible,06:00:00,07:00:00,Nunca,Nunca,
27514,Estudiante de licenciatura,11.93,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es fijo,20:00:00,,4 o más veces por semana,,1
27515,Estudiante de licenciatura,19.5,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,09:00:00,20:00:00,4 o más veces por semana,Nunca,
27516,Estudiante de licenciatura,17.44,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,11:00:00,Mi horario de salida es flexible,11:00:00,20:00:00,,,
27517,Estudiante de licenciatura,13,,Mi Macro (Calzada o Periférico),Pasajera,,Martes,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,08:00:00,09:00:00,Mi horario de salida es flexible,02:00:00,06:00:00,Nunca,Nunca,
27518,Personal servicios de apoyo o seguridad,16.73,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,14:00:00,,Nunca,Nunca,
27519,Personal administrativo,5.52,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es fijo,08:45:00,,Mi horario de salida es flexible,14:00:00,19:00:00,2 veces por semana,Nunca,
27520,Personal administrativo,7.47,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,14:00:00,,,,
27521,Estudiante de licenciatura,14.69,15,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,,Viernes,,,4,4,Mi horario de llegada es flexible,07:00:00,16:00:00,Mi horario de salida es flexible,14:00:00,22:00:00,1 vez por semana,,1
27522,Profesor (a) de asignatura,3.04,,Llego caminando hasta el ITESO,,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,07:00:00,18:00:00,Mi horario de salida es flexible,13:00:00,20:00:00,,,
27523,Personal administrativo,8.85,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,02:00:00,,Nunca,Nunca,
27524,Profesor (a) de tiempo fijo,9.56,,Automóvil híbrido,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:30:00,,Mi horario de salida es flexible,14:00:00,18:00:00,Nunca,Nunca,
27525,Estudiante de licenciatura,5.26,,Transporte universitario,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,13:00:00,15:00:00,Mi horario de salida es flexible,20:00:00,22:00:00,,,
27526,Estudiante de licenciatura,29.72,,Mi Macro (Calzada o Periférico),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,02:30:00,06:30:00,Nunca,1 vez por semana,
27527,Profesor (a) de tiempo fijo,14.03,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:10:00,,Mi horario de salida es fijo,16:00:00,,1 vez por semana,Nunca,1
27528,Profesor (a) de tiempo fijo,16.24,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,09:00:00,Mi horario de salida es flexible,15:00:00,16:00:00,Nunca,Nunca,
27529,Personal administrativo,9.84,,Automóvil SUV (tipo camioneta),Conductora,Lunes,,Miércoles,,Viernes,,,3,3,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,17:00:00,,Nunca,Nunca,
27530,Personal servicios de apoyo o seguridad,2.11,,Llego caminando hasta el ITESO,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,19:00:00,,,,
27531,Profesor (a) de tiempo fijo,21.36,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,08:30:00,,Mi horario de salida es fijo,14:30:00,,Nunca,Nunca,
27532,Personal administrativo,13.6,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es flexible,03:00:00,05:00:00,Nunca,Nunca,
27533,Personal administrativo,21.39,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,17:00:00,,3 veces por semana,,1
27534,Personal administrativo,5.14,,Taxi (internet o aplicación como Uber),Pasajera,,Martes,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,08:30:00,,Mi horario de salida es flexible,04:30:00,05:00:00,,2 veces por semana,
27535,Personal administrativo,27.89,,Mi Macro (Calzada o Periférico),,Lunes,Martes,Miércoles,,,,,3,3,Mi horario de llegada es fijo,08:30:00,,Mi horario de salida es fijo,17:00:00,,,,
27536,Profesor (a) de tiempo fijo,5.77,,Bicicleta propia,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,10:00:00,Mi horario de salida es flexible,16:00:00,19:00:00,Nunca,Nunca,
27537,Profesor (a) de tiempo fijo,4.07,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,07:30:00,Mi horario de salida es flexible,20:00:00,20:15:00,2 veces por semana,,1
27538,Personal administrativo,5.15,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,,Viernes,,,4,4,Mi horario de llegada es fijo,07:30:00,,Mi horario de salida es fijo,16:00:00,,,,1
27539,Profesor (a) de tiempo fijo,6.22,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,10:00:00,Mi horario de salida es flexible,19:00:00,22:00:00,Nunca,Nunca,
27540,Profesor (a) de tiempo fijo,13.97,5,Transporte universitario,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:30:00,09:30:00,Mi horario de salida es flexible,04:15:00,06:30:00,,Nunca,4
27541,Estudiante de licenciatura,16.01,,Mi Macro (Calzada o Periférico),,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,11:00:00,13:00:00,Mi horario de salida es flexible,15:00:00,22:00:00,,,
27542,Personal administrativo,22.85,15,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,01:08:00,,,,1
27543,Estudiante de licenciatura,19.18,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,11:00:00,Mi horario de salida es fijo,15:00:00,,Nunca,Nunca,
27544,Profesor (a) de tiempo fijo,10.49,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:20:00,,Mi horario de salida es fijo,18:20:00,,Nunca,Nunca,
27545,Personal administrativo,11.12,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,17:30:00,19:30:00,Nunca,Nunca,
27546,Estudiante de posgrado,17.77,,Tren Ligero (Mi Tren),,,,Miércoles,Jueves,,,,2,2,Mi horario de llegada es fijo,18:00:00,,Mi horario de salida es fijo,21:30:00,,,,
27547,Personal administrativo,13.1,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,06:00:00,,,,
27548,Estudiante de licenciatura,24.47,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,20:00:00,,2 veces por semana,Nunca,1
27549,Personal administrativo,2.98,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,13:00:00,14:00:00,Nunca,Nunca,
27550,Estudiante de licenciatura,4.98,,Bicicleta propia,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,13:00:00,14:00:00,,,
27551,Estudiante de licenciatura,16.29,,Transporte colectivo (Camión/rutas de MiTransporte),,,Martes,,Jueves,Viernes,,,3,3,Mi horario de llegada es flexible,07:00:00,11:00:00,Mi horario de salida es flexible,11:00:00,14:00:00,,,
27552,Profesor (a) de asignatura,13.31,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,18:00:00,16:00:00,Mi horario de salida es flexible,20:00:00,22:00:00,Nunca,,
27553,Estudiante de licenciatura,13.21,,Automóvil compacto,Conductora,,Martes,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,13:00:00,20:00:00,4 o más veces por semana,,
27554,Profesor (a) de tiempo fijo,5.38,5,Automóvil híbrido,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,13:30:00,17:00:00,4 o más veces por semana,2 veces por semana,1
27555,Estudiante de posgrado,5.16,,Automóvil compacto,Pasajera,,Martes,Miércoles,,,,,2,2,Mi horario de llegada es flexible,17:00:00,19:00:00,Mi horario de salida es flexible,20:00:00,22:00:00,,,
27556,Personal administrativo,19.93,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,18:00:00,,2 veces por semana,,
27557,Personal administrativo,29.62,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,15:00:00,,Nunca,Nunca,1
27558,Profesor (a) de asignatura,5.35,,Automóvil compacto,Conductora,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,06:30:00,,Mi horario de salida es fijo,09:30:00,,Nunca,Nunca,
27559,Estudiante de licenciatura,12.77,,Automóvil compacto,Conductora,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,18:00:00,21:00:00,2 veces por semana,Nunca,
27560,Profesor (a) de tiempo fijo,19.53,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es flexible,12:00:00,16:00:00,Mi horario de salida es flexible,06:00:00,20:00:00,2 veces por semana,Nunca,1
27561,Profesor (a) de asignatura,15.54,,Tren Ligero (Mi Tren),,,,Miércoles,,Viernes,,,2,2,Mi horario de llegada es fijo,09:10:00,,Mi horario de salida es fijo,15:00:00,,,,
27562,Personal administrativo,13.51,,Automóvil SUV (tipo camioneta),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,01:45:00,,Nunca,,
27563,Personal administrativo,5.37,,Automóvil compacto,Conductora,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,16:00:00,,Nunca,Nunca,
27564,Personal administrativo,9.23,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,11:00:00,Mi horario de salida es flexible,14:00:00,19:00:00,1 vez por semana,Nunca,
27565,Profesor (a) de tiempo fijo,13.27,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,18:00:00,19:00:00,Nunca,Nunca,
27566,Profesor (a) de tiempo fijo,14.58,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:10:00,,Mi horario de salida es fijo,08:50:00,,,,
27567,Estudiante de posgrado,11.79,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,,Jueves,,,,3,3,Mi horario de llegada es fijo,19:00:00,,Mi horario de salida es fijo,22:00:00,,1 vez por semana,Nunca,
27568,Profesor (a) de tiempo fijo,12.5,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,10:00:00,Mi horario de salida es flexible,18:00:00,20:00:00,1 vez por semana,1 vez por semana,
27569,Personal servicios de apoyo o seguridad,16.27,,Transporte colectivo (Camión/rutas de MiTransporte),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,13:00:00,,1 vez por semana,Nunca,
27570,Personal administrativo,3.06,,Llego caminando hasta el ITESO,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,16:00:00,18:00:00,,,
27571,Profesor (a) de tiempo fijo,17.43,10,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,10:00:00,Mi horario de salida es flexible,05:00:00,08:00:00,1 vez por semana,Nunca,
27572,Personal administrativo,4.73,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,19:00:00,21:00:00,3 veces por semana,,
27573,Estudiante de posgrado,5.43,,Automóvil SUV (tipo camioneta),Conductora,,Martes,Miércoles,,,,,2,2,Mi horario de llegada es fijo,19:00:00,,Mi horario de salida es fijo,22:00:00,,Nunca,Nunca,
27574,Personal administrativo,15,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,19:00:00,22:00:00,1 vez por semana,,
