ID,Mi rol principal en la universidad es:,Distancia Recorrida (ida),Tiempo de traslado (ida),Modo de transporte principal,En tu viaje al ITESO: ¿Empleas el automóvil como la persona conductora o pasajera?,¿Qué días de la semana te trasladas al ITESO?_1,¿Qué días de la semana te trasladas al ITESO?_2,¿Qué días de la semana te trasladas al ITESO?_3,¿Qué días de la semana te trasladas al ITESO?_4,¿Qué días de la semana te trasladas al ITESO?_5,¿Qué días de la semana te trasladas al ITESO?_6,¿Qué días de la semana te trasladas al ITESO?_7,dias_campus_total,Días de desplazamiento al trabajo,"En un día típico, ¿a qué hora llegas y sales del ITESO?",Hora_1,Hora_2,Segundo Horario,Hora_1,Hora_2,Doy regularmente aventón_1,Pido regularmente aventón_1,Compartido con pasajeros_1
27585,Personal administrativo,3.77,,Automóvil SUV (tipo camioneta),Conductora,Lunes,,Miércoles,,Viernes,,,3,3,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,17:30:00,,1 vez por semana,,
27586,Estudiante de licenciatura,,,Transporte colectivo (Camión/rutas de MiTransporte),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,11:00:00,Mi horario de salida es flexible,11:00:00,20:00:00,,3 veces por semana,
27587,Estudiante de licenciatura,18.36,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,06:30:00,08:30:00,Mi horario de salida es flexible,13:00:00,20:00:00,,,
27588,Personal administrativo,12.4,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:15:00,,Mi horario de salida es flexible,18:30:00,20:00:00,Nunca,Nunca,
27589,Profesor (a) de asignatura,16.53,,Automóvil compacto,Conductora,Lunes,,Miércoles,,,,,2,2,Mi horario de llegada es fijo,18:00:00,,Mi horario de salida es fijo,20:00:00,,Nunca,Nunca,
27590,Profesor (a) de asignatura,13.19,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,08:30:00,18:00:00,Mi horario de salida es flexible,11:00:00,20:00:00,,,
27591,Profesor (a) de asignatura,21.29,240,Automóvil compacto,Conductora,Lunes,Martes,,Jueves,,,,3,3,Mi horario de llegada es flexible,07:00:00,09:03:00,Mi horario de salida es flexible,21:00:00,18:00:00,Nunca,Nunca,
27592,Estudiante de licenciatura,11.28,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,20:10:00,,Nunca,Nunca,
27593,Estudiante de licenciatura,9.71,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,00:00:00,Mi horario de salida es flexible,13:00:00,22:00:00,,Nunca,2
27594,Profesor (a) de tiempo fijo,5.44,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,06:45:00,08:30:00,Mi horario de salida es flexible,17:00:00,21:00:00,Nunca,Nunca,1
27595,Personal servicios de apoyo o seguridad,7.69,,Automóvil SUV (tipo camioneta),Conductora,Lunes,,,Jueves,,,,2,2,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,05:00:00,,Nunca,Nunca,
27596,Profesor (a) de tiempo fijo,3.98,,Bicicleta propia,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,10:00:00,Mi horario de salida es flexible,05:00:00,08:00:00,Nunca,Nunca,
27597,Profesor (a) de tiempo fijo,5.73,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,17:00:00,19:00:00,1 vez por semana,Nunca,
27598,Profesor (a) de asignatura,4.24,30,Automóvil SUV (tipo camioneta),Conductora,,Martes,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,09:00:00,11:00:00,Mi horario de salida es flexible,06:00:00,08:00:00,1 vez por semana,,
27599,Personal administrativo,8.46,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,17:00:00,,Nunca,Nunca,
27600,Personal administrativo,11.4,,Automóvil SUV (tipo camioneta),Conductora,Lunes,,Miércoles,,Viernes,,,3,3,Mi horario de llegada es fijo,08:30:00,,Mi horario de salida es fijo,02:00:00,,Nunca,Nunca,
27601,Estudiante de licenciatura,6.27,,Mi Macro (Calzada o Periférico),,Lunes,Martes,,Jueves,,,,3,3,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,08:00:00,10:00:00,,,
27602,Personal administrativo,9.79,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,07:00:00,15:00:00,Mi horario de salida es fijo,15:00:00,,3 veces por semana,,2
27603,Profesor (a) de tiempo fijo,18.42,180,Automóvil eléctrico,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:30:00,,Mi horario de salida es fijo,18:30:00,,Nunca,Nunca,1
27604,Personal administrativo,8.42,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,11:00:00,Mi horario de salida es flexible,17:00:00,19:00:00,Nunca,Nunca,
27605,Personal servicios de apoyo o seguridad,4.16,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,05:00:00,07:00:00,1 vez por semana,Nunca,1
27606,Profesor (a) de tiempo fijo,6.64,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,16:00:00,18:00:00,Nunca,,
27607,Estudiante de licenciatura,11.92,,Bicicleta propia,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,11:00:00,16:00:00,Mi horario de salida es flexible,20:10:00,22:10:00,1 vez por semana,Nunca,
27608,Estudiante de licenciatura,72.78,,ATE,,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,10:15:00,10:25:00,Mi horario de salida es flexible,04:45:00,06:05:00,,,
27609,Profesor (a) de tiempo fijo,8.39,20,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,14:00:00,18:00:00,1 vez por semana,Nunca,1
27610,Profesor (a) de tiempo fijo,15.99,,,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,7,7,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,05:00:00,07:00:00,,,
27611,Estudiante de licenciatura,16.96,,Tren Ligero (Mi Tren),,Lunes,Martes,,Jueves,,,,3,3,Mi horario de llegada es flexible,09:00:00,13:00:00,Mi horario de salida es flexible,13:00:00,15:00:00,,,
27612,Profesor (a) de asignatura,30.06,,Automóvil SUV (tipo camioneta),Conductora,Lunes,,,Jueves,Viernes,,,3,3,Mi horario de llegada es fijo,06:30:00,,Mi horario de salida es flexible,09:00:00,12:00:00,Nunca,Nunca,
27613,Estudiante de licenciatura,,15,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,Martes,,Jueves,,,,3,3,Mi horario de llegada es flexible,07:00:00,18:00:00,Mi horario de salida es flexible,09:00:00,20:00:00,,,
27614,Estudiante de licenciatura,10.97,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,,Jueves,,,,3,3,Mi horario de llegada es flexible,15:15:00,16:00:00,Mi horario de salida es flexible,18:00:00,20:30:00,1 vez por semana,Nunca,
27615,Personal administrativo,20.88,5,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,14:00:00,15:00:00,3 veces por semana,Nunca,1
27616,Estudiante de licenciatura,8.52,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,13:00:00,15:00:00,,,
27617,Personal servicios de apoyo o seguridad,20.99,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,17:00:00,,,,
27618,Estudiante de licenciatura,15.61,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,,Viernes,,,4,4,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,13:00:00,20:00:00,Nunca,Nunca,
27619,Profesor (a) de tiempo fijo,12.4,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,10:00:00,Mi horario de salida es flexible,17:00:00,18:00:00,Nunca,Nunca,
27620,Profesor (a) de tiempo fijo,7.98,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,16:00:00,,Nunca,Nunca,
27621,Profesor (a) de asignatura,7.83,,,Pasajera,,,Miércoles,Jueves,Viernes,,,3,3,Mi horario de llegada es fijo,11:30:00,,Mi horario de salida es flexible,15:00:00,15:20:00,,,
27622,Profesor (a) de asignatura,11.51,,Automóvil compacto,Conductora,Lunes,Martes,,,,,,2,2,Mi horario de llegada es flexible,08:00:00,09:00:00,Mi horario de salida es flexible,13:00:00,15:00:00,1 vez por semana,,
27623,Profesor (a) de asignatura,16.23,,Automóvil compacto,Conductora,,,,,,Sábado,,1,1,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,13:00:00,,Nunca,Nunca,
27624,Personal administrativo,10.11,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,18:00:00,,Nunca,Nunca,
27625,Personal administrativo,4.24,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,18:00:00,,Nunca,Nunca,1
27626,Personal servicios de apoyo o seguridad,4.77,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,7,7,Mi horario de llegada es fijo,06:00:00,,Mi horario de salida es fijo,14:00:00,,Nunca,Nunca,
27627,Profesor (a) de tiempo fijo,16.99,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,10:00:00,Mi horario de salida es flexible,17:00:00,19:00:00,Nunca,Nunca,
27628,Personal administrativo,28.16,,Automóvil compacto,Conductora,,Martes,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,08:00:00,09:00:00,Mi horario de salida es flexible,16:00:00,17:00:00,Nunca,Nunca,
27629,Profesor (a) de tiempo fijo,25.38,,Automóvil SUV (tipo camioneta),Conductora,,Martes,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,08:00:00,10:30:00,Mi horario de salida es flexible,16:00:00,20:00:00,2 veces por semana,Nunca,1
27630,Estudiante de posgrado,,20,Mi Macro (Calzada o Periférico),,,Martes,Miércoles,,,Sábado,,3,3,Mi horario de llegada es fijo,19:50:00,,Mi horario de salida es fijo,22:00:00,,,,
27631,Personal administrativo,8.68,,Motocicleta,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,17:00:00,22:00:00,,,
27632,Profesor (a) de tiempo fijo,5.09,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,10:00:00,Mi horario de salida es flexible,19:00:00,20:00:00,1 vez por semana,,
27633,Profesor (a) de tiempo fijo,16.78,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,06:30:00,,Mi horario de salida es fijo,16:00:00,,Nunca,Nunca,1
27634,Profesor (a) de asignatura,30.23,,Mi Macro (Calzada o Periférico),,Lunes,,,Jueves,,,,2,2,Mi horario de llegada es fijo,11:00:00,,Mi horario de salida es fijo,15:00:00,,,,
27635,Personal administrativo,27.27,15,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,15:00:00,18:00:00,,1 vez por semana,2
27636,Estudiante de licenciatura,6.79,,Automóvil compacto,Conductora,,Martes,,Jueves,,,,2,2,Mi horario de llegada es flexible,13:00:00,16:00:00,Mi horario de salida es fijo,22:00:00,,1 vez por semana,Nunca,
27637,Profesor (a) de asignatura,7.45,,Transporte universitario,,Lunes,,Miércoles,Jueves,,,,3,3,Mi horario de llegada es fijo,11:00:00,,Mi horario de salida es fijo,15:00:00,,,,
27638,Estudiante de licenciatura,4.77,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:30:00,09:00:00,Mi horario de salida es flexible,11:00:00,03:00:00,Nunca,Nunca,
27639,Estudiante de licenciatura,14.4,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,20:00:00,22:00:00,2 veces por semana,2 veces por semana,1
27640,Estudiante de licenciatura,21.93,,Tren Ligero (Mi Tren),,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,14:00:00,14:20:00,,,
27641,Profesor (a) de tiempo fijo,7.18,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:30:00,,Mi horario de salida es flexible,14:30:00,16:30:00,1 vez por semana,Nunca,
27642,Personal administrativo,7.65,20,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,06:45:00,,Mi horario de salida es flexible,15:30:00,18:30:00,4 o más veces por semana,,3
27643,Profesor (a) de tiempo fijo,17.13,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,10:00:00,Mi horario de salida es flexible,05:00:00,06:30:00,Nunca,,
27644,Estudiante de licenciatura,2.59,,Llego caminando hasta el ITESO,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,16:00:00,,Mi horario de salida es flexible,20:00:00,22:00:00,Nunca,1 vez por semana,
27645,Personal administrativo,12.7,,Taxi (internet o aplicación como Uber),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,17:00:00,19:00:00,,,
27646,Personal administrativo,10.6,,Automóvil híbrido,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,06:00:00,,Nunca,Nunca,
27647,Personal administrativo,3.21,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es flexible,19:00:00,21:00:00,1 vez por semana,,
27648,Profesor (a) de asignatura,9.46,,Automóvil compacto,Conductora,Lunes,,Miércoles,Jueves,,,,3,3,Mi horario de llegada es fijo,11:00:00,,Mi horario de salida es flexible,13:00:00,18:30:00,Nunca,Nunca,
27649,Estudiante de licenciatura,17.99,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,11:00:00,13:00:00,Nunca,,
27650,Profesor (a) de tiempo fijo,14.54,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,20:00:00,,,Nunca,1
27651,Personal administrativo,5.88,,Bicicleta propia,,Lunes,Martes,Miércoles,,Viernes,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,18:00:00,,,,
27652,Profesor (a) de tiempo fijo,6.66,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:10:00,,Mi horario de salida es fijo,15:00:00,,Nunca,,
27653,Profesor (a) de asignatura,2.14,,Llego caminando hasta el ITESO,,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,13:00:00,,Mi horario de salida es flexible,15:00:00,16:30:00,,,
27654,Personal administrativo,7.11,,Automóvil eléctrico,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,14:00:00,,Nunca,Nunca,
27655,Personal administrativo,5.33,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,18:00:00,,1 vez por semana,Nunca,
27656,Profesor (a) de asignatura,14.65,,Tren Ligero (Mi Tren),,Lunes,,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,12:00:00,,,,
27657,Personal administrativo,13.42,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,18:00:00,,,,
27658,Estudiante de licenciatura,19.45,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es fijo,11:00:00,,Nunca,Nunca,
27659,Profesor (a) de tiempo fijo,3.37,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,05:00:00,06:00:00,4 o más veces por semana,Nunca,
27660,Personal administrativo,45.46,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,18:00:00,,Nunca,Nunca,1
27661,Profesor (a) de asignatura,13.33,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,18:00:00,,Mi horario de salida es fijo,21:00:00,,Nunca,Nunca,
27662,Personal administrativo,14.21,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,15:00:00,,1 vez por semana,Nunca,
27663,Profesor (a) de asignatura,22.04,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:45:00,08:45:00,Mi horario de salida es flexible,12:15:00,11:30:00,,,
27664,Personal administrativo,8.42,,Taxi (internet o aplicación como Uber),,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,17:00:00,,,,
27665,Profesor (a) de tiempo fijo,29.61,10,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,09:30:00,,Mi horario de salida es fijo,17:30:00,,Nunca,Nunca,1
27666,Estudiante de posgrado,5.43,,Automóvil compacto,Pasajera,Lunes,,,Jueves,Viernes,Sábado,,4,4,Mi horario de llegada es flexible,18:00:00,17:45:00,Mi horario de salida es fijo,22:00:00,,Nunca,,
27667,Estudiante de licenciatura,26.36,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,15:00:00,18:00:00,,,
27668,Profesor (a) de tiempo fijo,10.81,,Automóvil híbrido,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,11:00:00,Mi horario de salida es flexible,18:00:00,19:30:00,1 vez por semana,1 vez por semana,
27669,Profesor (a) de tiempo fijo,5.62,,Transporte colectivo (Camión/rutas de MiTransporte),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:30:00,08:00:00,Mi horario de salida es flexible,18:00:00,19:00:00,Nunca,Nunca,
27670,Personal administrativo,,70,Tren Ligero (Mi Tren),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,04:00:00,,1 vez por semana,,
27671,Estudiante de posgrado,24.57,,Automóvil compacto,Conductora,,,,,Viernes,Sábado,,2,2,Mi horario de llegada es fijo,16:00:00,,Mi horario de salida es flexible,09:00:00,10:00:00,Nunca,Nunca,
27672,Personal administrativo,14.59,300,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:40:00,08:00:00,Mi horario de salida es flexible,02:00:00,04:05:00,1 vez por semana,Nunca,1
27673,Estudiante de licenciatura,17.72,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,16:45:00,18:00:00,Mi horario de salida es fijo,20:00:00,,Nunca,Nunca,
27674,Profesor (a) de asignatura,28.21,5,Automóvil híbrido,Pasajera,Lunes,,Miércoles,,,,,2,2,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,09:00:00,,Nunca,Nunca,
27675,Estudiante de posgrado,10.76,,Automóvil compacto,Conductora,,,Miércoles,Jueves,,,,2,2,Mi horario de llegada es fijo,18:00:00,,Mi horario de salida es flexible,20:30:00,21:30:00,1 vez por semana,Nunca,
27676,Personal administrativo,8.54,,Automóvil compacto,Conductora,Lunes,,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,20:00:00,22:00:00,Nunca,,
27677,Profesor (a) de asignatura,3.72,,Bicicleta propia,Conductora,,Martes,,,Viernes,,,2,2,Mi horario de llegada es fijo,15:00:00,,Mi horario de salida es fijo,21:00:00,,1 vez por semana,Nunca,
27678,Personal administrativo,6.44,,Transporte universitario,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,19:00:00,,,,
27679,Personal administrativo,8.28,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,05:00:00,08:30:00,,,
27680,Estudiante de Prepa ITESO,14.77,,Tren Ligero (Mi Tren),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,15:00:00,18:00:00,,Nunca,2
27681,Profesor (a) de asignatura,9.25,,Automóvil compacto,Conductora,,Martes,,,,,,1,1,Mi horario de llegada es fijo,16:00:00,,Mi horario de salida es fijo,20:00:00,,Nunca,Nunca,
27682,Personal administrativo,4.26,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,19:00:00,,,,
27683,Profesor (a) de asignatura,15.96,,Automóvil compacto,Pasajera,Lunes,,Miércoles,Jueves,,,,3,3,Mi horario de llegada es fijo,16:00:00,,Mi horario de salida es fijo,20:00:00,,,,
27684,Personal administrativo,16.07,60,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,10:00:00,,Mi horario de salida es fijo,07:00:00,,1 vez por semana,1 vez por semana,
27685,Personal administrativo,5.35,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,17:00:00,,Nunca,Nunca,
27686,Profesor (a) de tiempo fijo,9.44,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,16:00:00,,,,
27687,Profesor (a) de tiempo fijo,12.13,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:30:00,,Mi horario de salida es fijo,16:30:00,,,,
27688,Personal administrativo,5.66,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,13:00:00,,Nunca,Nunca,1
27689,Estudiante de licenciatura,9.53,,Mi Macro (Calzada o Periférico),Pasajera,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,01:00:00,02:00:00,,,
27690,Estudiante de licenciatura,28.69,,Mi Macro (Calzada o Periférico),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,13:00:00,15:00:00,,,
27691,Personal administrativo,9.55,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,17:00:00,21:00:00,,,
27692,Estudiante de licenciatura,43.01,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,08:30:00,Mi horario de salida es flexible,11:00:00,01:00:00,,,
27693,Personal administrativo,11.1,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,19:00:00,,Nunca,Nunca,
27694,Personal administrativo,16.79,90,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,,Jueves,,,,3,3,Mi horario de llegada es flexible,09:00:00,10:00:00,Mi horario de salida es flexible,18:00:00,19:00:00,Nunca,Nunca,
27695,Profesor (a) de asignatura,7.67,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,06:50:00,08:50:00,Mi horario de salida es fijo,11:00:00,,Nunca,Nunca,
27696,Estudiante de licenciatura,18.92,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,13:00:00,,Nunca,Nunca,
27697,Estudiante de licenciatura,11.48,,Automóvil SUV (tipo camioneta),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,06:20:00,08:00:00,Mi horario de salida es flexible,11:30:00,01:40:00,,,1
